customer_id,district,plan_tier,gender,payment_method,tenure_months,tenure_band,monthly_arpu_lkr,avg_nps_score,complaint_count_6m,late_payment_count_12m,app_usage_flag,churn_flag,churn_label,churn_date,churn_probability,priority_score,revenue_at_risk,annual_revenue_at_risk
C1021366,Kandy,Basic,Male,Cash,2,0-6m,1264.85,9.0,1.0,1,0,1,Churned,10/25/2025,0.8021901,1014.6501795917749,1014.6501795917749,12175.802155101299
C1003227,Gampaha,Basic,Male,Bank transfer,1,0-6m,1334.32,6.0,0.0,0,0,1,Churned,2/7/2025,0.6652311,887.631172914505,887.631172914505,10651.57407497406
C1047957,Matale,Basic,Female,Bank transfer,6,0-6m,1073.88,6.0,0.0,0,0,1,Churned,4/4/2025,0.46385562,498.12527771472935,498.12527771472935,5977.503332576753
C1010901,Kandy,Basic,Male,Bank transfer,18,13-24m,942.9,7.0,0.0,0,0,0,Retained,,0.23451607,221.12520173639058,221.12520173639058,2653.5024208366867
C1032752,Matara,Basic,Female,Bank transfer,7,7-12m,1439.12,8.0,1.0,1,0,0,Retained,,0.5267002,757.9847898817062,757.9847898817062,9095.817478580475
C1012732,Kalutara,Silver,Male,Cash,59,37-60m,2101.74,6.0,0.0,0,0,1,Churned,12/5/2025,0.5283456,1110.4450495433807,1110.4450495433807,13325.340594520569
C1049785,Gampaha,Silver,Female,Auto-debit,21,13-24m,2170.01,7.0,0.0,1,1,1,Churned,8/17/2025,0.29780868,646.2478070858122,646.2478070858122,7754.973685029746
C1022472,Nuwara Eliya,Silver,Male,Bank transfer,12,7-12m,2589.5,8.0,1.0,1,1,0,Retained,,0.42883527,1110.4689388871193,1110.4689388871193,13325.627266645432
C1026951,Kalutara,Gold,Female,Cash,20,13-24m,3374.73,7.0,1.0,0,1,0,Retained,,0.5458874,1842.2226213115455,1842.2226213115455,22106.671455738546
C1019888,Kandy,Silver,Male,Auto-debit,7,7-12m,2478.71,5.0,2.0,1,1,1,Churned,11/8/2025,0.5588788,1385.2984193146228,1385.2984193146228,16623.581031775473
C1014145,Polonnaruwa,Basic,Female,App,5,0-6m,1582.34,8.0,1.0,0,1,1,Churned,5/7/2025,0.5585932,883.8843855416774,883.8843855416774,10606.61262650013
C1023637,Kurunegala,Gold,Female,Cash,23,13-24m,2620.31,8.0,1.0,1,1,0,Retained,,0.539087,1412.5750504428147,1412.5750504428147,16950.90060531378
C1022096,Kandy,Silver,Male,Auto-debit,21,13-24m,3578.38,4.0,2.0,0,0,0,Retained,,0.43946335,1572.5668523412944,1572.5668523412944,18870.802228095534
C1030742,Puttalam,Gold,Male,Bank transfer,28,25-36m,3286.27,9.0,1.0,2,0,0,Retained,,0.4813667,1581.9009254044295,1581.9009254044295,18982.811104853154
C1016992,Kurunegala,Gold,Female,App,17,13-24m,3660.19,7.0,0.0,0,0,0,Retained,,0.4279929,1566.5353697898984,1566.5353697898984,18798.42443747878
C1006072,Colombo,Basic,Male,App,8,7-12m,1178.01,4.0,0.0,2,1,1,Churned,9/17/2025,0.46836582,551.7396175709367,551.7396175709367,6620.87541085124
C1005304,Colombo,Silver,Female,Bank transfer,60,37-60m,1957.07,8.0,0.0,0,1,0,Retained,,0.24114963,471.9467144528031,471.9467144528031,5663.360573433638
C1013911,Colombo,Silver,Female,Auto-debit,7,7-12m,2466.56,9.0,0.0,0,1,0,Retained,,0.41156545,1015.1508832931519,1015.1508832931519,12181.810599517823
C1035570,Badulla,Basic,Female,Auto-debit,48,37-60m,1608.36,7.0,1.0,0,1,0,Retained,,0.16324435,262.55568557202815,262.55568557202815,3150.668226864338
C1004057,Ratnapura,Basic,Female,App,55,37-60m,1755.29,4.0,0.0,0,1,0,Retained,,0.19911055,349.4967619936168,349.4967619936168,4193.961143923401
C1014811,Kalutara,Gold,Female,Cash,30,25-36m,5416.19,10.0,1.0,1,0,0,Retained,,0.52436936,2840.0840786111353,2840.0840786111353,34081.008943333625
C1005011,Hambantota,Gold,Female,App,47,37-60m,5254.09,6.0,0.0,0,0,0,Retained,,0.40053707,2104.457833095193,2104.457833095193,25253.493997142315
C1020084,Kegalle,Gold,Male,App,33,25-36m,4220.05,2.0,0.0,1,0,0,Retained,,0.32437044,1368.8594914466144,1368.8594914466144,16426.313897359374
C1013047,Batticaloa,Gold,Female,Bank transfer,16,13-24m,5298.39,8.0,2.0,0,0,0,Retained,,0.52777267,2796.3454106354716,2796.3454106354716,33556.14492762566
C1028886,Galle,Silver,Male,Auto-debit,32,25-36m,2834.69,10.0,2.0,0,0,0,Retained,,0.35210696,998.1140745523572,998.1140745523572,11977.368894628287
C1012147,Puttalam,Silver,Female,Auto-debit,12,7-12m,1634.55,3.0,0.0,1,1,0,Retained,,0.5617906,918.2748015582562,918.2748015582562,11019.297618699075
C1043222,Jaffna,Silver,Female,Auto-debit,28,25-36m,2752.01,4.0,0.0,0,1,1,Churned,9/1/2025,0.22731838,625.5824447688461,625.5824447688461,7506.989337226154
C1006832,Kalutara,Silver,Male,Auto-debit,15,13-24m,2437.97,4.0,0.0,0,0,0,Retained,,0.34971163,852.5864547118543,852.5864547118543,10231.037456542252
C1017036,Kegalle,Basic,Male,Auto-debit,6,0-6m,1536.49,8.0,0.0,2,0,0,Retained,,0.39913222,613.262667684257,613.262667684257,7359.152012211085
C1009403,Matara,Silver,Male,Bank transfer,1,0-6m,2827.47,5.0,4.0,1,1,1,Churned,9/21/2025,0.8054426,2277.364708034992,2277.364708034992,27328.376496419904
C1045641,Trincomalee,Basic,Male,Bank transfer,5,0-6m,1036.2,4.0,0.0,1,0,1,Churned,3/21/2025,0.66498595,689.0584463238716,689.0584463238716,8268.70135588646
C1012130,Hambantota,Basic,Male,Bank transfer,24,13-24m,922.73,5.0,0.0,0,0,0,Retained,,0.23696099,218.65101634845138,218.65101634845138,2623.8121961814168
C1005071,Kandy,Basic,Female,App,48,37-60m,1276.0,6.0,0.0,0,1,1,Churned,2/9/2025,0.19986534,255.0281753540039,255.0281753540039,3060.338104248047
C1011032,Kegalle,Platinum,Male,Bank transfer,37,37-60m,3739.14,5.0,2.0,0,0,0,Retained,,0.47537538,1777.4951136749983,1777.4951136749983,21329.941364099977
C1013906,Galle,Basic,Male,App,4,0-6m,1159.41,4.0,0.0,0,0,0,Retained,,0.5782693,670.4512124115229,670.4512124115229,8045.4145489382745
C1022346,Kurunegala,Basic,Female,Auto-debit,3,0-6m,1339.29,6.0,0.0,1,0,0,Retained,,0.57479656,769.8192813956738,769.8192813956738,9237.831376748085
C1019331,Trincomalee,Gold,Male,Bank transfer,53,37-60m,4682.95,5.0,0.0,1,1,0,Retained,,0.4035761,1889.9267248108981,1889.9267248108981,22679.120697730777
C1004248,Gampaha,Gold,Female,App,25,25-36m,4657.82,9.0,1.0,1,0,0,Retained,,0.43351388,2019.2296194982528,2019.2296194982528,24230.755433979033
C1031807,Anuradhapura,Gold,Male,App,16,13-24m,6030.32,9.0,0.0,1,1,1,Churned,10/17/2025,0.47932935,2890.509351482391,2890.509351482391,34686.112217788694
C1036753,Batticaloa,Basic,Female,Bank transfer,10,7-12m,1494.53,7.0,2.0,4,0,0,Retained,,0.57673943,861.9543809568881,861.9543809568881,10343.452571482658
C1017210,Puttalam,Silver,Female,Bank transfer,11,7-12m,2730.66,9.0,0.0,1,1,0,Retained,,0.41143006,1123.475609997511,1123.475609997511,13481.70731997013
C1013433,Kurunegala,Basic,Female,App,11,7-12m,1322.08,7.0,1.0,0,0,1,Churned,8/2/2025,0.50601554,668.9930240249633,668.9930240249633,8027.916288299561
C1002213,Matara,Gold,Female,Auto-debit,14,13-24m,3720.64,7.0,0.0,1,0,0,Retained,,0.35326344,1314.3660770225524,1314.3660770225524,15772.392924270629
C1022367,Colombo,Basic,Male,Auto-debit,42,37-60m,1543.01,8.0,2.0,0,1,0,Retained,,0.17380638,268.18498889341953,268.18498889341953,3218.219866721034
C1008477,Galle,Basic,Male,Auto-debit,34,25-36m,541.19,10.0,1.0,1,0,0,Retained,,0.19755603,106.91534989461304,106.91534989461304,1282.9841987353566
C1014100,Colombo,Platinum,Female,Cash,55,37-60m,8794.14,4.0,0.0,1,1,1,Churned,6/19/2025,0.70324445,6184.430127367973,6184.430127367973,74213.16152841567
C1044268,Ampara,Basic,Male,App,3,0-6m,1305.52,6.0,1.0,0,0,0,Retained,,0.6230695,813.429725971222,813.429725971222,9761.156711654663
C1004252,Gampaha,Gold,Male,Auto-debit,18,13-24m,4280.43,8.0,0.0,2,1,0,Retained,,0.44344518,1898.1360342183712,1898.1360342183712,22777.632410620456
C1046735,Ratnapura,Platinum,Female,Bank transfer,37,37-60m,8487.9,5.0,0.0,1,0,0,Retained,,0.46301395,3930.016080826521,3930.016080826521,47160.19296991825
C1020468,Ratnapura,Gold,Female,Cash,22,13-24m,5037.92,7.0,0.0,1,1,1,Churned,10/15/2025,0.45149717,2274.6066093301774,2274.6066093301774,27295.279311962127
C1010171,Kandy,Basic,Male,Auto-debit,22,13-24m,1374.93,5.0,0.0,0,1,1,Churned,4/6/2025,0.31953606,439.33971510618926,439.33971510618926,5272.076581274271
C1017731,Colombo,Basic,Male,Bank transfer,4,0-6m,1226.35,7.0,0.0,0,0,0,Retained,,0.525987,645.0441931068897,645.0441931068897,7740.530317282676
C1042615,Badulla,Silver,Male,App,11,7-12m,1403.29,8.0,0.0,0,1,0,Retained,,0.38628754,542.0734422835708,542.0734422835708,6504.881307402849
C1040748,Jaffna,Platinum,Male,Cash,6,0-6m,6378.02,7.0,0.0,1,1,0,Retained,,0.5843147,3726.770868031979,3726.770868031979,44721.250416383744
C1007360,Matara,Basic,Male,Cash,11,7-12m,1166.28,9.0,0.0,0,0,0,Retained,,0.46979505,547.9125688576698,547.9125688576698,6574.950826292038
C1022750,Polonnaruwa,Silver,Male,App,17,13-24m,2676.07,6.0,0.0,1,1,0,Retained,,0.4032641,1079.1629743236304,1079.1629743236304,12949.955691883564
C1021379,Ratnapura,Gold,Female,Cash,14,13-24m,5832.89,7.0,1.0,1,0,0,Retained,,0.65055,3794.586635113955,3794.586635113955,45535.039621367454
C1037821,Hambantota,Basic,Female,App,9,7-12m,923.62,7.0,1.0,2,0,0,Retained,,0.4771371,440.6933579349518,440.6933579349518,5288.3202952194215
C1003570,Puttalam,Basic,Female,Auto-debit,3,0-6m,1182.79,2.0,0.0,1,1,0,Retained,,0.6856831,811.019080273509,811.019080273509,9732.228963282108
C1002757,Kurunegala,Basic,Female,App,17,13-24m,200.0,9.0,0.0,1,0,0,Retained,,0.31025606,62.051212787628174,62.051212787628174,744.6145534515381
C1008404,Ratnapura,Gold,Female,Bank transfer,13,13-24m,5848.82,6.0,0.0,1,0,0,Retained,,0.5037357,2946.2595603501795,2946.2595603501795,35355.114724202154
C1024362,Anuradhapura,Gold,Female,App,45,37-60m,5029.16,5.0,2.0,1,0,0,Retained,,0.5645031,2838.976278090477,2838.976278090477,34067.71533708573
C1020258,Gampaha,Basic,Female,Auto-debit,27,25-36m,1383.62,5.0,0.0,0,0,1,Churned,7/12/2025,0.22562249,312.17578968077896,312.17578968077896,3746.1094761693475
C1045608,Trincomalee,Silver,Male,Auto-debit,24,13-24m,2447.04,8.0,0.0,0,1,0,Retained,,0.20369165,498.4416065454483,498.4416065454483,5981.299278545379
C1041500,Nuwara Eliya,Silver,Female,Auto-debit,13,13-24m,2244.17,5.0,0.0,1,1,0,Retained,,0.32688642,733.588687031269,733.588687031269,8803.06424437523
C1032816,Kandy,Platinum,Male,Cash,36,25-36m,7096.35,8.0,0.0,1,1,1,Churned,5/27/2025,0.5748479,4079.321732130647,4079.321732130647,48951.86078556776
C1019265,Ratnapura,Basic,Male,Cash,1,0-6m,1006.38,9.0,1.0,0,1,1,Churned,11/10/2025,0.6988306,703.2891438102722,703.2891438102722,8439.469725723266
C1037365,Kurunegala,Silver,Male,Auto-debit,28,25-36m,2292.84,9.0,0.0,1,0,1,Churned,9/4/2025,0.23101385,529.6777944070101,529.6777944070101,6356.133532884121
C1004070,Nuwara Eliya,Basic,Female,Cash,12,7-12m,1223.64,6.0,0.0,3,0,0,Retained,,0.526059,643.7068003535271,643.7068003535271,7724.481604242325
C1046702,Ratnapura,Silver,Female,Auto-debit,18,13-24m,1894.6,7.0,0.0,1,1,0,Retained,,0.32788026,621.201946902275,621.201946902275,7454.4233628273005
C1007024,Colombo,Basic,Female,Auto-debit,1,0-6m,822.72,6.0,0.0,3,0,1,Churned,10/5/2025,0.74872667,615.9924026298523,615.9924026298523,7391.9088315582285
C1027174,Colombo,Gold,Female,Cash,17,13-24m,2948.49,5.0,0.0,0,1,0,Retained,,0.5069068,1494.6096526175736,1494.6096526175736,17935.315831410884
C1007800,Gampaha,Basic,Male,Auto-debit,11,7-12m,1504.62,9.0,1.0,1,1,0,Retained,,0.38723484,582.6412801712751,582.6412801712751,6991.695362055301
C1020416,Polonnaruwa,Gold,Female,Bank transfer,34,25-36m,3723.64,3.0,0.0,0,0,0,Retained,,0.44683865,1663.8662599885463,1663.8662599885463,19966.395119862555
C1006682,Batticaloa,Basic,Female,Auto-debit,1,0-6m,714.4,7.0,1.0,2,0,0,Retained,,0.66257626,473.3444788455963,473.3444788455963,5680.133746147156
C1028533,Puttalam,Basic,Male,Auto-debit,3,0-6m,1349.86,3.0,0.0,3,1,0,Retained,,0.7079632,955.6512432527542,955.6512432527542,11467.81491903305
C1039772,Badulla,Gold,Male,Auto-debit,44,37-60m,4536.66,7.0,1.0,0,0,0,Retained,,0.38539982,1748.4279402351378,1748.4279402351378,20981.135282821655
C1040569,Kalutara,Basic,Female,Cash,1,0-6m,1348.41,6.0,1.0,0,1,0,Retained,,0.667543,900.1216485697032,900.1216485697032,10801.459782836439
C1036624,Jaffna,Basic,Male,Auto-debit,24,13-24m,1617.19,6.0,0.0,0,1,0,Retained,,0.20096274,324.9949289767444,324.9949289767444,3899.939147720933
C1004605,Kandy,Gold,Female,Auto-debit,60,37-60m,4804.87,6.0,1.0,0,0,0,Retained,,0.39969766,1920.4953023302555,1920.4953023302555,23045.943627963068
C1014417,Kurunegala,Silver,Male,Auto-debit,39,37-60m,1829.75,8.0,0.0,1,0,0,Retained,,0.25705412,470.34477662295103,470.34477662295103,5644.137319475412
C1038551,Galle,Silver,Male,Auto-debit,16,13-24m,2514.91,7.0,1.0,1,0,0,Retained,,0.43069914,1083.1695737585426,1083.1695737585426,12998.034885102512
C1043045,Colombo,Silver,Male,App,29,25-36m,1807.78,4.0,0.0,1,0,0,Retained,,0.38159642,689.8423693412542,689.8423693412542,8278.10843209505
C1013519,Vavuniya,Silver,Female,Cash,31,25-36m,2038.53,9.0,0.0,0,1,0,Retained,,0.36934143,752.9135915118455,752.9135915118455,9034.963098142147
C1029044,Kandy,Basic,Male,Cash,14,13-24m,1396.55,9.0,0.0,1,0,0,Retained,,0.32485825,453.6807865709066,453.6807865709066,5444.1694388508795
C1012266,Hambantota,Gold,Male,Bank transfer,26,25-36m,4125.61,7.0,0.0,2,1,0,Retained,,0.34605065,1427.6700216570496,1427.6700216570496,17132.040259884594
C1040182,Ratnapura,Basic,Male,App,17,13-24m,1163.72,7.0,3.0,0,1,0,Retained,,0.4319778,502.7012152791023,502.7012152791023,6032.4145833492275
C1036795,Kegalle,Basic,Male,Bank transfer,19,13-24m,1269.58,6.0,0.0,0,1,1,Churned,8/4/2025,0.29343128,372.53448705673213,372.53448705673213,4470.413844680786
C1023455,Kandy,Silver,Female,App,41,37-60m,2953.62,9.0,0.0,1,0,0,Retained,,0.30244368,893.3037114179134,893.3037114179134,10719.644537014961
C1043388,Jaffna,Silver,Male,Auto-debit,5,0-6m,1845.33,7.0,1.0,0,0,0,Retained,,0.63359827,1169.197891947627,1169.197891947627,14030.374703371526
C1044791,Colombo,Basic,Male,Cash,2,0-6m,1247.11,6.0,1.0,0,1,0,Retained,,0.7507953,936.3243325382471,936.3243325382471,11235.891990458964
C1010835,Colombo,Silver,Male,App,54,37-60m,1862.57,3.0,1.0,0,1,1,Churned,11/4/2025,0.60670674,1130.0337698757648,1130.0337698757648,13560.405238509178
C1016670,Ratnapura,Silver,Male,App,44,37-60m,2237.57,5.0,1.0,1,1,0,Retained,,0.43543482,974.3158863115311,974.3158863115311,11691.790635738373
C1046434,Kurunegala,Gold,Male,Bank transfer,7,7-12m,3367.31,5.0,0.0,0,1,1,Churned,5/15/2025,0.51372033,1729.855616454482,1729.855616454482,20758.267397453783
C1032440,Monaragala,Silver,Male,Cash,25,25-36m,3113.87,7.0,2.0,2,1,0,Retained,,0.6235004,1941.4992115420102,1941.4992115420102,23297.990538504124
C1030729,Nuwara Eliya,Platinum,Male,Auto-debit,26,25-36m,10097.3,10.0,1.0,0,0,1,Churned,8/16/2025,0.62917966,6353.01574563384,6353.01574563384,76236.18894760608
C1003402,Hambantota,Gold,Female,Auto-debit,51,37-60m,4691.7,5.0,0.0,0,1,0,Retained,,0.35957205,1687.0042008519172,1687.0042008519172,20244.050410223004
C1016701,Colombo,Basic,Male,App,7,7-12m,886.14,7.0,0.0,0,1,1,Churned,8/22/2025,0.5007365,443.72261994838715,443.72261994838715,5324.671439380646
C1018490,Kandy,Gold,Female,Auto-debit,57,37-60m,3176.6,7.0,1.0,0,0,0,Retained,,0.32145035,1021.11919028759,1021.11919028759,12253.43028345108
C1036780,Colombo,Silver,Female,Cash,56,37-60m,2606.15,10.0,0.0,2,1,0,Retained,,0.4579993,1193.6148471206427,1193.6148471206427,14323.378165447713
C1000469,Hambantota,Gold,Female,App,59,37-60m,3720.15,5.0,0.0,1,0,0,Retained,,0.43426874,1615.5448635265232,1615.5448635265232,19386.53836231828
C1029285,Kurunegala,Basic,Male,Bank transfer,18,13-24m,793.96,8.0,0.0,1,1,0,Retained,,0.24905184,197.73719818234446,197.73719818234446,2372.8463781881337
C1031070,Kegalle,Silver,Male,Bank transfer,22,13-24m,2652.03,9.0,1.0,1,1,1,Churned,11/23/2025,0.3757763,996.5699967384339,996.5699967384339,11958.839960861207
C1040224,Mullaitivu,Basic,Female,Bank transfer,10,7-12m,514.14,4.0,0.0,2,0,1,Churned,8/17/2025,0.57079035,293.4661507737637,293.4661507737637,3521.593809285164
C1041958,Ratnapura,Gold,Male,Cash,40,37-60m,2443.22,6.0,1.0,1,1,0,Retained,,0.502447,1227.5885815405845,1227.5885815405845,14731.062978487014
C1020560,Kegalle,Basic,Male,Bank transfer,4,0-6m,1028.81,4.0,1.0,1,1,0,Retained,,0.69498485,715.0073668903112,715.0073668903112,8580.088402683734
C1032481,Puttalam,Silver,Female,Auto-debit,20,13-24m,2358.45,9.0,0.0,1,1,0,Retained,,0.2921651,689.056781449914,689.056781449914,8268.681377398967
C1004448,Jaffna,Silver,Male,Auto-debit,9,7-12m,1976.64,7.0,0.0,0,0,0,Retained,,0.42663163,843.2971440696716,843.2971440696716,10119.56572883606
