district,total_customers,churned_customers,churn_rate,avg_arpu,total_arpu,lat,lon,churn_rate_pct,monthly_revenue_at_risk,annual_revenue_at_risk
Ampara,1601,312,0.19487820112429732,2763.217070580887,4423910.53,7.307303291692692,81.65946830730793,19.5,862124.0,10345488.0
Anuradhapura,2248,483,0.2148576512455516,2765.8171218861207,6217556.89,8.320576276690392,80.44296101423487,21.5,1335890.0,16030680.0
Badulla,2019,422,0.20901436354631006,2740.161446260525,5532385.96,7.013493541357107,81.05931155027241,20.9,1156348.0,13876176.0
Batticaloa,1340,247,0.1843283582089552,2846.096843283582,3813769.77,7.697396253731343,81.66643641044776,18.4,702986.0,8435832.0
Colombo,5695,1174,0.20614574187884108,2786.7553608428443,15870571.78,6.924089596867428,79.8890204336014,20.6,3271651.0,39259812.0
Galle,2587,543,0.20989563200618477,2727.8027097023582,7056825.61,6.074096512180132,80.22954186371086,21.0,1481197.0,17774364.0
Gampaha,5579,1118,0.20039433590249148,2775.134889765191,15482477.55,7.095271557626814,80.0130329037462,20.0,3102601.0,37231212.0
Hambantota,1572,322,0.20483460559796438,2680.1554643765903,4213204.39,6.149251412484096,81.12259920292621,20.5,863010.0,10356120.0
Jaffna,1391,308,0.22142343637670742,2666.9815528396834,3709771.34,9.665767887669302,80.02606562902947,22.1,821430.0,9857160.0
Kalutara,2888,621,0.21502770083102493,2723.2268317174517,7864679.09,6.59383522799169,80.00347261700138,21.5,1691124.0,20293488.0
Kandy,3370,701,0.20801186943620179,2738.4597982195846,9228609.52,7.31323700296736,80.63391717804154,20.8,1919660.0,23035920.0
Kegalle,2013,424,0.21063089915548933,2673.179185295579,5381109.7,7.256582429210134,80.36897519125682,21.1,1133428.0,13601136.0
Kilinochchi,291,62,0.21305841924398625,2928.311855670103,852138.75,9.367171615120274,80.38345573883161,21.3,181555.0,2178660.0
Kurunegala,4028,828,0.20556107249255212,2758.7754071499503,11112347.34,7.461135012413108,80.38031079443893,20.6,2284266.0,27411192.0
Mannar,234,48,0.20512820512820512,2773.3423076923077,648962.1,8.990448836692309,79.9003253434188,20.5,133120.0,1597440.0
Matale,1198,232,0.19365609348914858,2730.378514190317,3270993.46,7.487093606010017,80.6244788981636,19.4,633448.0,7601376.0
Matara,1981,419,0.2115093387178193,2641.3174709742557,5232449.91,5.972503211316002,80.54567338686017,21.2,1106712.0,13280544.0
Monaragala,1057,232,0.2194891201513718,2689.668495742668,2842979.6,6.876609877010407,81.32944228003785,21.9,624003.0,7488036.0
Mullaitivu,263,46,0.17490494296577946,2517.1149049429655,662001.22,9.239671485482889,80.79630205224333,17.5,115787.0,1389444.0
Nuwara Eliya,1686,360,0.21352313167259787,2809.9571293001186,4737587.72,6.926344436536181,80.8224144246738,21.4,1011585.0,12139020.0
Polonnaruwa,1005,207,0.20597014925373133,2723.5207462686567,2737138.35,7.952552786069652,80.99209955223881,20.6,563769.0,6765228.0
Puttalam,1831,355,0.1938831239759694,2711.760425996723,4965233.34,8.044517673402513,79.84589364827963,19.4,962675.0,11552100.0
Ratnapura,2752,571,0.20748546511627908,2742.9028742732557,7548468.71,6.670942910610465,80.41460676235465,20.7,1566198.0,18794376.0
Trincomalee,936,177,0.1891025641025641,2563.2874893162393,2399237.09,8.594290277777779,81.16816532051281,18.9,453702.0,5444424.0
Vavuniya,435,86,0.19770114942528735,2551.101195402299,1109729.02,8.650753701149425,80.63651186206897,19.8,219395.0,2632740.0
